expert,seed,step,ode_selection_proxy_pct,best_proxy_pct,metric_note
sym,31,200000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,31,225000,90.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,31,250000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,31,275000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,31,300000,90.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,42,25000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,42,50000,90.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,42,75000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,42,100000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,42,125000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,42,150000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,42,175000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,42,200000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,42,225000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,42,250000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,42,275000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,42,300000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,123,25000,0.0,0.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,123,50000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,123,75000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,123,100000,70.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,123,125000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,123,150000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,123,175000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,123,200000,70.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,123,225000,10.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,123,250000,80.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,123,275000,70.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,123,300000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,2024,25000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,2024,50000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,2024,75000,50.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,2024,100000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,2024,125000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,2024,150000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,2024,175000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,2024,200000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,2024,225000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,2024,250000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,2024,275000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,2024,300000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
