scenario_idx,sc_id,m_sh,m_se_d,m_se_q,vdc_min,vdc_max,i2_max,lvrt_pass
274,7,0.7944,0.0685,0.0759,0.6454,0.9868,2.6398,0
275,7,0.7964,0.0620,0.0750,0.7742,1.0048,2.6852,1
276,7,0.7987,0.0582,0.0743,0.7889,0.9748,2.7758,1
277,7,0.7965,0.0618,0.0750,0.7526,0.9744,3.1601,0
278,7,0.7943,0.0688,0.0760,0.7469,1.0203,2.3616,0
279,7,0.7996,0.0556,0.0736,0.7540,0.9490,3.3809,0
280,7,0.7978,0.0594,0.0746,0.8017,0.9807,2.5128,1
281,7,0.7993,0.0573,0.0740,0.8121,0.9961,2.4531,1
282,7,0.7996,0.0563,0.0737,0.8034,0.9714,2.5717,1
283,7,0.7958,0.0635,0.0752,0.7251,1.0309,2.7250,0
284,7,0.7952,0.0654,0.0754,0.8272,1.0057,2.2859,1
285,7,0.7953,0.0651,0.0754,0.7133,0.9761,2.9835,0
286,7,0.7955,0.0646,0.0753,0.8261,1.0510,2.4040,1
287,7,0.7966,0.0617,0.0750,0.7336,0.9751,3.2048,0
288,7,0.7992,0.0576,0.0740,0.7799,0.9649,2.8776,1
289,7,0.7945,0.0681,0.0759,0.8447,1.0113,2.2436,1
290,7,0.7982,0.0589,0.0745,0.8156,0.9979,2.3585,1
291,7,0.7966,0.0615,0.0750,0.7405,0.9748,3.0825,0
292,7,0.7942,0.0695,0.0761,0.6093,0.9789,3.1033,0
293,7,0.7950,0.0661,0.0755,0.8194,1.0173,2.3182,1
294,7,0.7986,0.0583,0.0743,0.8054,1.0390,2.4597,1
295,7,0.7977,0.0596,0.0747,0.7690,1.0183,2.6401,1
296,7,0.7943,0.0692,0.0761,0.8412,1.0607,2.2548,1
297,7,0.7951,0.0657,0.0755,0.7362,0.9774,2.8330,0
298,7,0.7991,0.0577,0.0741,0.7837,1.0268,2.5243,1
299,7,0.7984,0.0587,0.0744,0.7908,1.0343,2.7993,1
300,7,0.7959,0.0634,0.0752,0.8124,1.0135,2.3455,1
301,8,0.8632,-0.2113,0.0512,0.6313,0.9326,1.4760,0
302,8,0.8432,-0.1953,0.0442,0.6926,0.9404,1.7597,0
303,8,0.8506,-0.1994,0.0468,0.6750,1.0064,1.3290,0
304,8,0.8610,-0.2090,0.0504,0.6272,0.9178,1.5160,0
305,8,0.8460,-0.1969,0.0454,0.6001,0.9325,1.5847,0
306,8,0.8573,-0.2053,0.0489,0.6618,0.8989,1.6426,0
307,8,0.8630,-0.2110,0.0511,0.6112,0.9065,1.5318,0
308,8,0.8544,-0.2026,0.0480,0.6104,0.9149,1.5911,0
309,8,0.8558,-0.2038,0.0484,0.5902,0.9284,1.4888,0
310,8,0.8434,-0.1954,0.0443,0.6344,0.9392,1.7440,0
311,8,0.8540,-0.2022,0.0478,0.6960,1.0055,1.2965,0
312,8,0.8575,-0.2055,0.0490,0.6672,0.9224,1.5789,0
313,8,0.8393,-0.1930,0.0428,0.6959,0.9449,1.8087,0
314,8,0.8622,-0.2102,0.0508,0.6869,1.0148,1.2828,0
315,8,0.8544,-0.2026,0.0480,0.6779,1.0284,1.4314,0
316,8,0.8568,-0.2048,0.0488,0.6165,0.9062,1.6623,0
317,8,0.8426,-0.1949,0.0440,0.6415,0.9454,1.8250,0
318,8,0.8606,-0.2086,0.0502,0.6584,0.9040,1.4963,0
319,8,0.8611,-0.2091,0.0504,0.6758,1.0054,1.3410,0
320,8,0.8530,-0.2014,0.0475,0.6481,0.9144,1.5591,0
321,8,0.8521,-0.2006,0.0473,0.6769,1.0268,1.4446,0
322,8,0.8663,-0.2145,0.0524,0.6639,0.9170,1.3903,0
323,8,0.8484,-0.1982,0.0462,0.6691,1.0149,1.3725,0
324,8,0.8565,-0.2046,0.0487,0.6623,0.9675,1.6477,0
325,8,0.8594,-0.2074,0.0497,0.6587,0.9083,1.3821,0
326,8,0.8576,-0.2056,0.0490,0.6768,0.9978,1.3510,0
327,8,0.8626,-0.2107,0.0510,0.6134,0.9033,1.5666,0
328,8,0.8554,-0.2035,0.0483,0.6011,0.9327,1.3290,0
329,8,0.8500,-0.1991,0.0467,0.6210,0.9154,1.7002,0
330,8,0.8461,-0.1970,0.0454,0.6250,0.9260,1.6985,0
331,8,0.8514,-0.2000,0.0471,0.6793,1.0230,1.4310,0
332,8,0.8513,-0.1999,0.0470,0.6824,1.0313,1.4647,0
333,8,0.8346,-0.1904,0.0412,0.6655,0.9573,1.9116,0
334,8,0.8557,-0.2037,0.0484,0.6669,0.9197,1.6592,0
335,8,0.8507,-0.1995,0.0469,0.6163,0.9180,1.6566,0
336,8,0.8610,-0.2090,0.0503,0.7749,0.9331,1.5815,1
337,8,0.8522,-0.2006,0.0473,0.6925,0.9853,1.3653,0
338,8,0.8656,-0.2138,0.0522,0.6485,0.9446,1.4426,0
339,8,0.8477,-0.1978,0.0460,0.6816,0.9216,1.7553,0
340,8,0.8413,-0.1941,0.0435,0.6097,0.9330,1.5444,0
341,8,0.8560,-0.2041,0.0485,0.6621,0.9110,1.5084,0
342,8,0.8384,-0.1925,0.0425,0.7550,1.0689,1.4933,1
343,8,0.8487,-0.1983,0.0463,0.6741,0.9230,1.5908,0
344,8,0.8585,-0.2065,0.0494,0.6330,0.9370,1.5900,0
345,8,0.8557,-0.2038,0.0484,0.7056,1.0310,1.3750,0
346,8,0.8514,-0.2000,0.0471,0.6329,0.9206,1.4137,0
347,8,0.8596,-0.2076,0.0498,0.6562,0.9646,1.6930,0
348,8,0.8464,-0.1972,0.0455,0.6304,0.8905,1.5958,0
349,8,0.8511,-0.1998,0.0470,0.5938,0.9000,1.3626,0
350,8,0.8510,-0.1997,0.0469,0.6479,0.9175,1.5980,0
